                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.85457,                 0.7197,                 1.0358,                 0.9105,                0.79675,                0.87993,                0.72581,                0.74802,                0.55125,                0.93361,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                 0.8755,                0.73553,                 1.0493,                0.91544,                0.79786,                0.88044,                0.72551,                0.74804,                0.55087,                0.93424,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.85913,                 0.7403,                 1.0642,                0.89374,                0.81051,                0.88055,                0.72575,                0.74446,                0.54932,                0.93366,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.85919,                0.73221,                 1.0381,                0.89571,                0.81518,                0.88231,                0.72965,                0.74118,                0.54782,                0.93236,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 0.8984,                0.73885,                 1.0452,                0.90324,                0.81766,                0.88397,                0.72894,                0.73967,                0.54794,                0.93229,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.84447,                0.71293,                  1.034,                0.88485,                 0.8278,                0.88532,                0.73156,                0.73808,                0.54984,                 0.9318,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.84358,                0.72104,                 1.0368,                0.88783,                0.82693,                0.88638,                0.73382,                0.73618,                0.54884,                0.93171,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.83283,                 0.7004,                 1.0219,                0.90801,                  0.812,                0.88487,                0.73115,                  0.733,                0.54654,                0.93076,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.83501,                 0.7073,                 1.0205,                0.91273,                0.81143,                 0.8852,                0.72914,                0.73139,                0.54526,                0.93016,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.81818,                0.68761,                 1.0303,                0.92344,                0.80613,                 0.8854,                 0.7288,                0.73055,                 0.5449,                0.92994,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.80933,                0.69478,                 1.0324,                0.90832,                0.81872,                0.88714,                0.72962,                0.73178,                0.54447,                0.92996,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81229,                 0.6801,                 1.0298,                 0.9085,                0.81713,                0.88662,                0.73178,                0.73131,                0.54239,                0.92909,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                 0.8163,                0.67639,                 1.0237,                0.90097,                0.82282,                0.88761,                0.73309,                0.72884,                0.53824,                0.92681,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.82612,                0.69855,                  1.027,                0.89006,                0.83015,                0.88911,                0.73413,                0.72888,                0.53717,                0.92573,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                 0.8198,                0.70119,                 1.0503,                0.88426,                0.82778,                0.88583,                0.73056,                0.73007,                0.53598,                0.92569,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.82394,                0.67083,                  1.024,                0.87645,                0.82545,                0.88504,                0.72956,                0.72975,                0.53365,                0.92492,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.84628,                0.70676,                 1.0369,                 0.8814,                0.82257,                0.88617,                0.72957,                0.72779,                0.53067,                  0.924,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.82185,                0.72068,                 1.0623,                0.90838,                0.81749,                0.88542,                0.73501,                 0.7258,                0.53046,                 0.9243,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.83795,                0.69534,                 1.0332,                0.91759,                0.80916,                0.88509,                0.73449,                0.72369,                0.53081,                0.92369,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.80535,                 0.6759,                 1.0146,                0.92337,                0.80649,                0.88611,                0.73664,                0.72205,                0.52929,                0.92332,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.83785,                0.70492,                 1.0311,                0.92768,                 0.8046,                0.88663,                 0.7376,                0.71984,                0.52763,                0.92273,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.81053,                0.66067,                 1.0116,                0.93247,                0.80653,                0.88763,                0.73874,                0.71899,                0.52552,                0.92246,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.83893,                0.70073,                 1.0467,                0.93349,                 0.8088,                0.88677,                 0.7375,                0.71824,                0.52316,                0.92221,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 0.8244,                0.67985,                 1.0159,                0.93555,                0.80944,                0.88923,                0.73945,                0.71709,                0.52081,                0.92189,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.84094,                0.70577,                 1.0188,                0.93339,                0.80727,                0.88921,                0.74133,                0.71557,                0.51769,                0.92131,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.84673,                0.71061,                  1.049,                0.93596,                 0.8069,                0.89057,                0.74122,                0.71494,                0.51655,                0.92057,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                 0.8553,                0.71585,                 1.0356,                0.93831,                 0.8102,                0.89198,                0.74217,                0.71344,                0.51483,                0.92001,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.84995,                0.70062,                 1.0215,                 0.9347,                0.80941,                0.89151,                0.74288,                0.71213,                0.51598,                0.91902,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.85913,                0.71173,                 1.0444,                0.93059,                0.81047,                0.89134,                0.74188,                0.71191,                0.51581,                0.91845,             1.8862e-05,             1.8862e-05,             1.8862e-05
